BlockNo,Area,Zip,Geom
501451,58753,"10314","(-74.13979937704057,40.62093311570881)"
400819,177494,"11103, 11105","(-73.91125629627366,40.77129966628791)"
500854,165837,"10304","(-74.09698563220344,40.59683335620866)"
304874,120071,"11203","(-73.94245342031738,40.65209261449769)"
407621,0,"","(-73.7564484670744,40.74593173879203)"
505600,225922,"10312","(-74.16945882772079,40.548527868185744)"
405050,6250,"11355","(-73.8184604124184,40.76066694404268)"
400079,95851,"11101","(-73.94418646630133,40.74709600116705)"
204820,109551,"10466","(-73.86377496978945,40.888865831516526)"
308074,140106,"11236","(-73.90251582638452,40.629795030154305)"
203708,260433,"10472","(-73.88375840925707,40.82425415057798)"
203380,143323,"10470","(-73.86922814348542,40.90047403220467)"
301947,93872,"11238","(-73.9637233229961,40.68806996865276)"
505022,119232,"10306","(-74.13354964025442,40.556244810047524)"
506339,267820,"10312","(-74.19543092246484,40.542209066357685)"
302689,172453,"11222","(-73.94100313743198,40.72467241994007)"
100108,82775,"10038","(-74.00040983329725,40.70889755906818)"
203124,148434,"10460","(-73.88224387432025,40.84608989496295)"
307213,139983,"11223","(-73.97194280049312,40.58711213477019)"
308188,55000,"11236","(-73.8988167425009,40.64615331900711)"
301219,177594,"11216","(-73.95135008362243,40.67573621445072)"
409117,6843,"11417","(-73.84472503040715,40.68216913908059)"
411547,70188,"11417","(-73.83978755298091,40.668756610854864)"
304933,111103,"11203","(-73.94546845907308,40.64440709153471)"
102076,151945,"10031","(-73.94925528872206,40.825458746412735)"
203120,11543400,"10460","(-73.87825153850368,40.84976163005016)"
507305,421352,"10309","(-74.2303786707037,40.53822015182018)"
305051,1613749,"11218","(-73.96852884013711,40.650773518226664)"
100069,98454,"10038","(-74.00652159442885,40.70746568541929)"
307978,982280,"11234","(-73.92074181373862,40.63493651683432)"
304810,110000,"11203","(-73.94642612121999,40.65929879598737)"
308526,140215,"11234","(-73.92719522315714,40.611029965906475)"
502148,163500,"10314","(-74.16694257530324,40.60606665880519)"
402794,72277,"11378","(-73.8935496458851,40.72387560294916)"
100218,66975,"10013","(-74.01061485989429,40.72253774838201)"
100928,128399,"10010","(-73.97998207699415,40.73703049677749)"
506377,102178,"10312","(-74.17044398130203,40.53373469013001)"
301781,143445,"11216, 11221","(-73.94416321604841,40.69182989617905)"
303475,5555115,"11221, 11207","(-73.90140777954004,40.68458257545482)"
204699,132202,"10469","(-73.85436433667984,40.878830930446384)"
403500,115193,"11385","(-73.90154653492239,40.706419938057095)"
500362,86400,"10314","(-74.12814871415124,40.62096182642938)"
307875,158000,"11234","(-73.9264688218367,40.620187822092575)"
300726,140233,"11232","(-74.01425183487676,40.65339970410528)"
302034,414000,"11205","(-73.97903747943673,40.6949123351782)"
303972,134162,"11208","(-73.88213063810254,40.67755051088697)"
204943,153572,"10466","(-73.833288873941,40.88541822486369)"
400585,17521,"11106","(-73.92892582175178,40.75953581438076)"
500799,45488,"10314","(-74.12182332931754,40.60032639998508)"
502072,193270,"10314","(-74.16131749646543,40.60629707689227)"
100382,333394,"10009","(-73.97575730204643,40.726464190641934)"
202325,375000,"10451","(-73.92462780302812,40.8132462879993)"
308210,140000,"11236","(-73.89561703149094,40.6454933303715)"
301927,137343,"11205","(-73.95701793266858,40.69179674503832)"
303176,146703,"11237","(-73.92409530753265,40.70592095182193)"
308164,164662,"11236","(-73.90438010179496,40.6450792483735)"
306221,140304,"11228","(-74.00886224111741,40.62064687821212)"
100007,23896,"10004","(-74.01105498493928,40.7033622559495)"
412995,1200,"11434","(-73.7593585059166,40.67642674918649)"
204523,146651,"10469","(-73.8533145055934,40.86652264401662)"
205627,308085,"10464","(-73.78774028501878,40.844264982339084)"
503767,61691,"10305","(-74.08900165569594,40.57648310951142)"
506335,137580,"10312","(-74.19367088699326,40.53851708481277)"
411411,96620,"11414","(-73.85516901290048,40.66801734534393)"
306919,369350,"11223, 11214","(-73.98425884166983,40.58613081733511)"
301327,195667,"11225","(-73.95886785526127,40.66144527522949)"
302344,79788,"11211","(-73.95857182661476,40.71605407155664)"
300478,75521,"11231","(-73.99869574485325,40.674645966673616)"
304966,56385,"11203, 11226","(-73.94610648883277,40.640622857893604)"
202826,189359,"10453, 10457","(-73.9089197616754,40.847341651308255)"
304285,99002,"11208","(-73.86657134385162,40.67117686691675)"
504720,92845,"10306","(-74.12439464513984,40.5587083357303)"
307673,56007,"11234","(-73.93835609496375,40.61987437436309)"
101761,604708,"","(-73.93413777347644,40.812196615757365)"
301842,146331,"11216","(-73.95224379609802,40.68103582192414)"
304542,95290,"11208","(-73.87273253568779,40.66130378722787)"
504630,158994,"10308","(-74.14822982252687,40.553962296979556)"
